Studio,Date,Headcount,Parent,Type,Source
Gasket Games,2023-09-31,6,,Indie,LinkedIn
Digic Pictures,2023-09-31,35,Embracer Group,Console,https://forbes.hu/uzlet/digic-studio-leepites-magyar-cgi-embracer-csoport/
Thought Pennies,2023-09-31,,,Online,https://www.gamedeveloper.com/business/rpg-studio-thought-pennies-appears-to-lay-off-employees
Mainframe Industries,2025-05-06,17,,Online,LinkedIn
Electronic Arts,2025-04-29,300,Electronic Arts,Publisher,https://www.gamesindustry.biz/ea-cuts-another-200-jobs-in-service-of-driving-future-growth-bringing-total-job-losses-to-around-300
Respawn Entertainment,2025-04-29,100,Electronic Arts,Console,https://www.gamesindustry.biz/respawn-cancels-two-early-stage-projects-and-cuts-apex-legends-star-wars-jedi-teams-resulting-in-100-layoffs
Reality Labs,2025-04-25,100,Meta,AR/VR,https://www.gamedeveloper.com/business/report-meta-has-laid-off-over-100-reality-labs-employees
Might Yell,2025-04-25,,,AR/VR,https://www.gamesindustry.biz/toronto-based-developer-mighty-yell-lays-off-employees
Nerial Ltd.,2025-04-22,7,Devolver Digital,Mobile,https://www.gamesindustry.biz/devolver-digital-cuts-40-of-staff-at-subsidiary-studio-nerial
Makea Games,2025-04-16,20,,Online,https://www.gamesindustry.biz/makea-games-shuts-down
Brass Lion Entertainment,2025-04-07,13,,Indie,LinkedIn
PlaySide,2025-04-01,,,Indie,LinkedIn
Eidos Montreal,2025-03-31,75,Embracer Group,Console,LinkedIn
"Cyan, Inc.",2025-03-28,12,,Indie,Twitter
PLAION,2025-03-27,40,Embracer Group,Publisher,https://www.gameswirtschaft.de/wirtschaft/plaion-stellenabbau-embracer-v2-270325/
Crystal Dynamics,2025-03-26,17,Embracer Group,Console,LinkedIn
Niantic Games,2025-03-25,68,Scopely,Mobile,https://www.gamedeveloper.com/business/niantic-is-laying-off-68-employees-after-selling-its-game-business-for-3-5-billion
MachineZone,2025-03-21,97,AppLovin,Mobile,https://www.pocketgamer.biz/applovin-lays-off-97-staff/
Elodie Games,2025-03-19,35,,Indie,Steam
Studio Fizbin,2025-03-18,25,Thunderful,Console,LinkedIn
Farm51,2025-03-14,15,,Indie,https://www.thefarm51.com/aktualnosc/zmiany-w-koncepcji-rozwoju-gry-chernobylite-2/
Mountaintop Studios,2025-03-14,80,,Online,https://playspectre.com/news/letter-to-spectre-fans
Box Dragon,2025-03-13,5,,Indie,LinkedIn
FreeRange Games,2025-03-13,,,Indie,LinkedIn
PlayStation Malaysia,2025-03-05,20,Sony,Console,https://nmiagaming.com/playstation-studios-malaysia-layoffs-underway/
PlayStation VASG,2025-03-04,,Sony,Console,
Azra Games Austin,2025-02-26,40,Azra,Mobile,Direct
SpaceApe Games,2025-02-25,30,SuperCell,Mobile,https://mobilegamer.biz/rip-space-ape-70-join-supercell-london-30-laid-off-remaining-titles-to-spin-out/
WB San Diego,2025-02-25,51,Warner Brothers,Online,https://www.bloomberg.com/news/articles/2025-02-25/warner-bros-shuts-three-video-game-studios-in-restructuring
Player First Games,2025-02-25,70,Warner Brothers,Console,https://www.bloomberg.com/news/articles/2025-02-25/warner-bros-shuts-three-video-game-studios-in-restructuring
Monolith Productions,2025-02-25,131,Warner Brothers,Console,https://www.bloomberg.com/news/articles/2025-02-25/warner-bros-shuts-three-video-game-studios-in-restructuring
Skeleton Key,2025-02-24,,Hasbro,Console,
Striking Distance Studios,2025-02-20,30,Krafton,Console,Direct
Bossa Games,2025-02-20,,,Indie,LinkedIn
Night School,2025-02-19,,Netflix,Online,https://www.gamesindustry.biz/netflix-owned-night-school-studio-cuts-undisclosed-number-of-staff
Liquid Sword,2025-02-17,46,,Indie,"Direct, https://www.gamesindustry.biz/liquid-sword-makes-deeply-regrettable-job-cuts-for-the-studios-long-term-sustainability"
Netease,2025-02-17,10,Netease,Console,https://www.gamesindustry.biz/marvel-rivals-us-support-studio-hit-with-layoffs
Bend Studio,2025-02-14,25,Sony,Console,Direct
Sanzaru Games,2025-02-12,,Meta,AR/VR,
Crytek,2025-02-12,60,,Console,LinkedIn
Unity,2025-02-11,,Unity Technologies,Tech,https://www.gamesindustry.biz/unity-cuts-jobs-once-again-as-it-makes-important-organisational-changes
10:10 Games,2025-02-07,18,,Indie,Direct
HiRez Studios,2025-02-06,69,,Online,"Direct, https://www.wsbtv.com/news/local/fulton-county/alpharetta-video-game-studio-makers-smite-lays-off-dozens-staff/WZ5AKZDBCBHTZE4DHCCAK6OMZM/"
Iron Galaxy,2025-02-05,66,,Console,LinkedIn
probablyMonsters,2025-02-04,,,Console,https://www.gamedeveloper.com/business/report-probablymonsters-conducting-more-layoffs-after-pledging-to-build-stable-home-for-developers-
Sumo Digital Ltd.,2025-02-04,,Tencent,Console,https://www.eurogamer.net/layoffs-look-likely-at-sumo-digital-as-company-ditches-plans-to-work-on-its-own-ip
Midnight Society,2025-01-30,55,,Console,Twitter
Bioware Games,2025-01-30,,Electronic Arts,Console,https://blog.bioware.com/2025/01/29/bioware-studio-update/
Fast Travel Games,2025-01-28,30,,AR/VR,https://www.gamedeveloper.com/business/vr-dev-fast-travel-games-cuts-30-employees-saying-vr-faces-a-more-uncertain-year-
Phoenix Labs,2025-01-27,50,Forte,Online,LinkedIn
MoonActive,2025-01-27,20,,Mobile,https://app2top.ru/news/v-kompanii-moon-active-proshli-massovy-e-sokrashheniya-v-pervuyu-ochered-oni-kosnulis-litovskogo-podrazdeleniya-kotoroe-ran-she-by-lo-studiej-melsoft-227071.html
