id,title,releaseDate,rating,genres,description,platforms,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,platform_metascores,developer,publisher
1300501848,Baldur's Gate 3,2023-08-03,M,Western RPG,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power. Mysterious abilities are awakening inside you, drawn from a mind flayer parasite planted in your brain. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.","PC,PlayStation 5,Xbox Series X",96.0,112.0,Universal acclaim,92.0,18089,Universal acclaim,"96,96,99",Larian Studios Games,Larian Studios Games
1300505387,The House in Fata Morgana - Dreams of the Revenants Edition -,2021-04-09,M,Visual Novel,"A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more:
    1: The House in Fata Morgana: the main storyline.
    2: A Requiem for Innocence: a prequel shedding light on the origins of Fata Morgana’s terrible curse.
    3: Reincarnation: a sequel featuring the central cast members reincarnated in the present day. *The part including voices
    4: Other additional short stories.",Nintendo Switch,96.0,10.0,Universal acclaim,70.0,550,Mixed or average,96,HuneX,"Limited Run Games,dramatic create,HuneX"
1300501979,Elden Ring,2022-02-25,M,Action RPG,"A New World Created By Hidetaka Miyazaki And George R. R. Martin

ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date. 

Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice. 

George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.","PC,Xbox Series X,PlayStation 5",96.0,86.0,Universal acclaim,82.0,18819,Generally favorable,"94,96,96",From Software,"Bandai Namco Games,From Software"
1300502074,The Legend of Zelda: Tears of the Kingdom,2023-05-12,E10+,Open-World Action,"An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda™: Tears of the Kingdom for Nintendo Switch™. The adventure is yours to create in a world fueled by your imagination. In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link’s new abilities to fight back against the malevolent forces that threaten the kingdom?",Nintendo Switch,96.0,150.0,Universal acclaim,88.0,12971,Generally favorable,96,Nintendo,Nintendo
1300563817,Portal: Companion Collection,2022-06-28,,Compilation,"Including Portal and Portal 2, the Companion Collection comes to Nintendo Switch with all the groundbreaking gameplay, dark humor, and exploration that earned the series hundreds of awards.

In Portal, you'll use a highly experimental portal device to solve physical puzzles and challenges. Maneuver objects--and yourself--through space to puzzle your way through the mysterious Aperture Science Laboratories.

Return to Aperture Laboratories in Portal 2 where you'll once again face off with the lethally inventive, power-mad A.I. named GLaDOS. Meet an expanded cast of characters as you think your way through dangerous, never-before-seen areas of the laboratories and a wider variety of portal puzzles. Plus Portal 2 also includes a co-operative game mode with local, split-screen and online multiplayer so you and a friend can think with portals.",Nintendo Switch,95.0,10.0,Universal acclaim,86.0,127,Generally favorable,95,Valve Software,Valve Software
1300498869,Persona 5 Royal,2020-03-31,M,JRPG,"Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.","PlayStation 4,Xbox Series X,PC,PlayStation 5,Nintendo Switch",95.0,71.0,Universal acclaim,87.0,5355,Generally favorable,"95,94,95,91,94",Atlus,"Atlus,Sega"
1300589901,Elden Ring: Shadow of the Erdtree,2024-06-21,M,Action RPG,"Rise, Tarnished, and let us walk a new path together.

An upcoming expansion for ELDEN RING, Shadow of the Erdtree, is currently in development.

We hope you look forward to new adventures in the Lands Between.","PC,Xbox Series X,PlayStation 5",94.0,64.0,Universal acclaim,81.0,3304,Generally favorable,"92,95,94",From Software,"Bandai Namco Games,From Software"
1300638463,Astro Bot,2024-09-06,E10+,3D Platformer,"When the PS5 mothership is attacked by ASTRO’s long-standing galactic nemesis, scrambling its wires and scattering the crew throughout space, only ASTRO can make things right. Setting off on his biggest mission yet, he needs your help to rescue the stranded crew and rebuild the mothership. Make the most of ASTRO’s new power-ups, handcrafted to level up your immersion: from springy punches and rockets all the way to a giant sponge! Buckle up for some epic PlayStation camaraderie, join forces with your favourite PlayStation icons and show the universe that small is mighty in this fresh new ASTRO adventure, exclusive to PS5 consoles.",PlayStation 5,94.0,135.0,Universal acclaim,92.0,4472,Universal acclaim,94,Team Asobi,Sony Interactive Entertainment
1300588444,Metroid Prime Remastered,2023-02-08,T,FPS,"Intergalactic bounty hunter Samus Aran receives a distress signal from a wrecked frigate in orbit around planet Tallon IV. Upon investigation, the frigate reveals itself to be a Space Pirate research vessel home to terrifying genetic experiments using the mysterious Phazon substance. There, Samus encounters her nemesis, Meta Ridley, whom she pursues to the surface of Tallon IV. It's up to her alone to explore the planet's interconnected regions, investigate its dark secrets, and end the intergalactic threat posed by Phazon.

Experience this critically acclaimed first-person adventure like never before with remastered visuals, audio, controls, and more.",Nintendo Switch,94.0,95.0,Universal acclaim,88.0,1441,Generally favorable,94,"Retro Studios,Iron Galaxy Studios",Nintendo
1300597505,Metaphor: ReFantazio,2024-10-11,T,JRPG,"From the creative minds behind Persona 3, 4, and 5 comes Metaphor: ReFantazio, a unique fantasy world, where your protagonist will journey alongside his fairy companion, Gallica, to lift the curse from the kingdom’s lost prince. Control your destiny, face your fears and awaken magical ""Archetype"" powers that lie dormant in your heart. By awakening to an “Archetype,” you will unlock the power to channel and combine the abilities of unique job classes. Strengthen your bonds and build your party to take down powerful foes and discover the kingdom’s true nature.

-Go on uests, dungeon dive, & hunt for treasures by day. Strengthen relationships, build bonds, & increase virtues by night. Choose your actions wisely, time management is key to achieving your goal. 

Ride your “gauntlet runner” to faraway dungeons & towns across an expansive world. Discover beautiful landscapes  accompanied by captivating music, immersive UI, & anime cutscenes.

A unique battle system combining turn based & real time action grants strategy & exhilaration at every turn. Party customization through “Archetypes” provides freedom to personalize your adventure. 

A mysterious & exciting story unfolds in a world where people must fight their own anxiety. Join the high-stakes Royal Tournament that promises hours of captivating exploration and discovery.","Xbox Series X,PC,PlayStation 5",94.0,54.0,Universal acclaim,87.0,2004,Generally favorable,"92,92,94",Studio Zero,"Sega,Atlus"
