id,company,x,y
0,Electronic Arts,279.484,362.073
1,Electronic Arts,212.475,266.238
2,Electronic Arts,284.579,354.307
3,Electronic Arts,165.383,327.012
4,Electronic Arts,275.345,322.723
5,Electronic Arts,263.526,349.799
6,Electronic Arts,201.116,268.377
7,Electronic Arts,229.018,310.814
8,Electronic Arts,168.965,357.986
9,Electronic Arts,186.344,334.206
10,Electronic Arts,246.529,379.444
11,Electronic Arts,252.790,349.698
12,Electronic Arts,234.792,329.111
13,Electronic Arts,189.300,380.035
14,Electronic Arts,260.562,288.528
15,Electronic Arts,189.908,353.871
16,Electronic Arts,235.603,273.797
17,Electronic Arts,284.158,312.546
18,Electronic Arts,219.026,293.002
19,Electronic Arts,160.302,307.731
20,Electronic Arts,178.263,294.905
21,Electronic Arts,271.033,355.262
22,Electronic Arts,189.405,392.967
23,Electronic Arts,218.768,377.309
24,Electronic Arts,204.342,284.990
25,Electronic Arts,232.825,400.683
26,Electronic Arts,168.765,362.301
27,Electronic Arts,192.140,373.739
28,Electronic Arts,217.834,351.318
29,Electronic Arts,232.931,380.353
30,Electronic Arts,153.398,352.925
31,Electronic Arts,266.427,323.532
32,Electronic Arts,198.329,309.669
33,Electronic Arts,265.827,378.652
34,Electronic Arts,156.901,303.565
35,Electronic Arts,226.811,365.650
36,Electronic Arts,200.835,285.052
37,Electronic Arts,178.821,336.917
38,Electronic Arts,226.064,382.083
39,Electronic Arts,172.869,311.205
40,Electronic Arts,187.152,320.171
41,Electronic Arts,216.797,358.228
42,Electronic Arts,235.493,323.941
43,Electronic Arts,192.299,343.388
44,Electronic Arts,183.175,360.093
45,Electronic Arts,215.228,329.213
46,Electronic Arts,246.222,364.567
47,Electronic Arts,227.104,375.577
48,Electronic Arts,206.465,316.945
49,Electronic Arts,240.639,338.204
50,Electronic Arts,170.418,364.467
51,Electronic Arts,252.713,347.053
52,Electronic Arts,199.263,389.821
53,Electronic Arts,247.905,382.927
54,Electronic Arts,255.233,292.778
55,Electronic Arts,216.159,309.149
56,Electronic Arts,210.131,268.123
57,Electronic Arts,219.807,382.417
58,Electronic Arts,178.106,319.993
59,Electronic Arts,165.832,353.729
60,Electronic Arts,201.530,403.368
61,Electronic Arts,172.742,301.452
62,Electronic Arts,269.967,364.131
63,Electronic Arts,212.523,375.976
64,Electronic Arts,194.887,343.279
65,Electronic Arts,256.567,393.348
66,Electronic Arts,245.162,328.284
67,Electronic Arts,190.721,325.026
68,Electronic Arts,215.076,302.046
69,Electronic Arts,221.114,332.563
70,Electronic Arts,178.324,351.418
71,Electronic Arts,180.891,327.752
72,Electronic Arts,206.390,392.298
73,Electronic Arts,246.518,333.252
74,Electronic Arts,201.528,359.100
75,Electronic Arts,223.251,329.352
76,Electronic Arts,278.591,365.157
77,Electronic Arts,267.873,350.708
78,Electronic Arts,202.917,342.483
79,Electronic Arts,247.508,393.916
80,Electronic Arts,203.125,324.954
81,Electronic Arts,159.216,366.006
82,Electronic Arts,227.742,395.754
83,Electronic Arts,195.657,385.509
84,Electronic Arts,170.154,319.670
85,Electronic Arts,149.017,343.469
86,Electronic Arts,209.372,346.372
87,Electronic Arts,163.940,374.955
88,Electronic Arts,260.237,293.494
89,Electronic Arts,187.748,299.043
90,Electronic Arts,169.465,309.983
91,Electronic Arts,239.490,285.869
92,Electronic Arts,278.927,317.500
93,Electronic Arts,263.317,375.864
94,Electronic Arts,229.502,329.102
95,Electronic Arts,250.322,309.277
96,Electronic Arts,178.971,344.679
97,Electronic Arts,160.197,350.272
98,Electronic Arts,201.618,395.940
99,Electronic Arts,201.948,369.903
100,Electronic Arts,220.694,375.530
101,Electronic Arts,258.589,365.652
102,Electronic Arts,150.621,352.517
103,Electronic Arts,154.350,335.756
104,Electronic Arts,286.697,340.820
105,Electronic Arts,168.712,377.484
106,Electronic Arts,218.290,328.323
107,Electronic Arts,232.060,383.617
108,Electronic Arts,185.522,286.928
109,Electronic Arts,232.801,269.821
110,Electronic Arts,280.950,319.783
111,Electronic Arts,239.699,300.612
112,Electronic Arts,236.959,366.687
113,Electronic Arts,226.549,354.880
114,Electronic Arts,255.950,350.971
115,Electronic Arts,193.233,323.991
116,Electronic Arts,254.772,310.412
117,Electronic Arts,149.913,323.456
118,Electronic Arts,235.446,293.779
119,Electronic Arts,272.276,331.373
120,Electronic Arts,253.321,352.696
121,Electronic Arts,198.196,301.884
122,Electronic Arts,240.284,275.476
123,Electronic Arts,182.261,300.298
124,Electronic Arts,185.023,303.034
125,Electronic Arts,161.064,304.426
126,Electronic Arts,172.053,350.614
127,Electronic Arts,212.736,368.943
128,Electronic Arts,260.691,345.379
129,Electronic Arts,254.545,296.155
130,Electronic Arts,205.000,394.758
131,Electronic Arts,196.253,352.672
132,Electronic Arts,181.931,385.023
133,Electronic Arts,156.316,351.446
134,Electronic Arts,247.480,315.421
135,Electronic Arts,243.537,284.516
136,Electronic Arts,181.029,358.153
137,Electronic Arts,229.974,276.693
138,Electronic Arts,214.939,343.883
139,Electronic Arts,162.392,353.163
140,Electronic Arts,189.186,358.585
141,Electronic Arts,248.885,294.643
142,Electronic Arts,163.733,319.967
143,Electronic Arts,148.816,333.975
144,Electronic Arts,150.672,345.594
145,Electronic Arts,215.397,380.572
146,Electronic Arts,177.961,283.293
147,Electronic Arts,173.862,336.705
148,Electronic Arts,240.487,278.238
149,Electronic Arts,226.566,351.518
150,Electronic Arts,210.117,319.470
151,Electronic Arts,279.089,339.744
152,Electronic Arts,199.227,384.195
153,Electronic Arts,190.902,363.858
154,Electronic Arts,201.656,313.447
155,Electronic Arts,156.278,362.334
156,Electronic Arts,182.330,278.585
157,Electronic Arts,236.666,387.152
158,Electronic Arts,273.534,335.380
159,Electronic Arts,211.830,327.212
160,Electronic Arts,258.123,355.039
161,Electronic Arts,205.838,384.288
162,Electronic Arts,213.346,331.058
163,Electronic Arts,162.268,355.729
164,Electronic Arts,166.835,366.026
165,Electronic Arts,252.994,375.340
166,Electronic Arts,185.509,389.148
167,Electronic Arts,246.732,286.038
168,Electronic Arts,182.235,303.600
169,Electronic Arts,154.446,323.243
170,Electronic Arts,171.057,335.270
171,Electronic Arts,268.200,316.871
172,Electronic Arts,243.606,281.747
173,Electronic Arts,253.680,299.002
174,Electronic Arts,211.867,363.343
175,Electronic Arts,240.249,283.368
176,Electronic Arts,215.651,375.834
177,Electronic Arts,232.492,277.661
178,Electronic Arts,206.866,266.676
179,Electronic Arts,158.735,327.291
180,Electronic Arts,203.883,398.430
181,Electronic Arts,239.049,322.445
182,Electronic Arts,204.435,372.359
183,Electronic Arts,238.952,316.135
184,Electronic Arts,230.131,270.629
185,Electronic Arts,169.584,349.535
186,Electronic Arts,237.701,381.956
187,Electronic Arts,216.588,401.509
188,Electronic Arts,218.530,266.523
189,Electronic Arts,252.529,325.354
190,Electronic Arts,185.286,377.984
191,Electronic Arts,224.898,396.429
192,Electronic Arts,213.765,308.064
193,Electronic Arts,230.540,304.854
194,Electronic Arts,180.958,315.064
195,Electronic Arts,279.683,333.566
196,Electronic Arts,208.953,404.562
197,Electronic Arts,190.850,327.970
198,Electronic Arts,219.347,313.931
199,Electronic Arts,183.015,329.674
200,Electronic Arts,228.783,325.002
201,Electronic Arts,270.864,290.083
202,Electronic Arts,196.214,398.250
203,Electronic Arts,232.441,354.598
204,Electronic Arts,268.955,347.315
205,Electronic Arts,243.436,293.099
206,Electronic Arts,192.160,280.712
207,Electronic Arts,257.654,287.760
208,Electronic Arts,255.218,321.920
209,Electronic Arts,255.070,389.259
210,Electronic Arts,204.268,297.430
211,Electronic Arts,175.705,317.753
212,Electronic Arts,234.842,317.723
213,Electronic Arts,182.877,309.473
214,Electronic Arts,274.187,302.929
215,Electronic Arts,197.447,332.886
216,Electronic Arts,230.019,351.453
217,Electronic Arts,196.235,280.948
218,Electronic Arts,266.387,289.881
219,Electronic Arts,196.398,357.301
220,Electronic Arts,207.690,283.575
221,Electronic Arts,248.743,299.173
222,Electronic Arts,223.500,279.155
223,Electronic Arts,192.287,351.499
224,Electronic Arts,206.286,337.676
225,Electronic Arts,243.099,295.912
226,Electronic Arts,187.402,307.093
227,Electronic Arts,193.834,347.345
228,Electronic Arts,202.083,290.145
229,Electronic Arts,190.852,297.613
230,Electronic Arts,214.689,274.551
231,Electronic Arts,206.918,313.269
232,Electronic Arts,268.221,353.771
233,Electronic Arts,284.066,330.527
234,Electronic Arts,237.791,276.736
235,Electronic Arts,230.057,389.472
236,Electronic Arts,190.657,384.464
237,Electronic Arts,177.534,280.546
238,Electronic Arts,245.876,390.736
239,Electronic Arts,227.190,272.111
240,Electronic Arts,161.738,296.193
