id,company,x,y
0,Embracer Group,533.440,569.246
1,Embracer Group,463.567,393.555
2,Embracer Group,563.190,565.352
3,Embracer Group,343.794,519.773
4,Embracer Group,582.706,514.896
5,Embracer Group,540.877,561.556
6,Embracer Group,437.580,404.755
7,Embracer Group,519.760,435.521
8,Embracer Group,354.628,589.463
9,Embracer Group,391.291,529.273
10,Embracer Group,541.614,655.330
11,Embracer Group,539.920,566.757
12,Embracer Group,535.637,508.264
13,Embracer Group,396.607,673.396
14,Embracer Group,484.206,519.375
15,Embracer Group,388.515,597.768
16,Embracer Group,494.066,457.789
17,Embracer Group,566.635,505.831
18,Embracer Group,472.217,457.116
19,Embracer Group,343.352,479.320
20,Embracer Group,382.334,449.359
21,Embracer Group,587.251,577.703
22,Embracer Group,412.012,673.868
23,Embracer Group,470.641,671.498
24,Embracer Group,437.593,396.049
25,Embracer Group,500.557,643.969
26,Embracer Group,370.270,596.230
27,Embracer Group,410.265,638.365
28,Embracer Group,490.142,641.730
29,Embracer Group,507.181,646.227
30,Embracer Group,404.763,556.250
31,Embracer Group,586.868,512.026
32,Embracer Group,404.495,435.557
33,Embracer Group,550.145,617.146
34,Embracer Group,364.148,482.739
35,Embracer Group,498.818,622.245
36,Embracer Group,458.715,503.877
37,Embracer Group,355.876,545.329
38,Embracer Group,481.661,611.796
39,Embracer Group,335.179,468.199
40,Embracer Group,402.152,507.046
41,Embracer Group,460.327,665.144
42,Embracer Group,593.103,448.855
43,Embracer Group,372.100,572.627
44,Embracer Group,360.184,626.901
45,Embracer Group,436.465,502.556
46,Embracer Group,556.552,630.382
47,Embracer Group,483.808,602.115
48,Embracer Group,395.063,413.892
49,Embracer Group,538.030,541.631
50,Embracer Group,340.826,611.910
51,Embracer Group,592.219,572.587
52,Embracer Group,430.080,663.224
53,Embracer Group,542.080,652.268
54,Embracer Group,546.118,454.082
55,Embracer Group,468.163,429.409
56,Embracer Group,459.029,474.854
57,Embracer Group,475.303,608.329
58,Embracer Group,362.602,497.913
59,Embracer Group,369.074,574.156
60,Embracer Group,447.639,640.961
61,Embracer Group,371.218,473.730
62,Embracer Group,603.107,611.860
63,Embracer Group,453.589,687.197
64,Embracer Group,339.455,584.874
65,Embracer Group,553.101,655.282
66,Embracer Group,589.025,504.919
67,Embracer Group,436.453,528.166
68,Embracer Group,467.476,455.127
69,Embracer Group,523.152,491.452
70,Embracer Group,372.347,576.644
71,Embracer Group,322.855,504.639
72,Embracer Group,448.370,653.259
73,Embracer Group,589.552,531.263
74,Embracer Group,420.833,604.280
75,Embracer Group,578.774,433.208
76,Embracer Group,585.208,606.331
77,Embracer Group,608.064,577.138
78,Embracer Group,344.724,617.880
79,Embracer Group,509.183,608.989
80,Embracer Group,368.361,454.215
81,Embracer Group,421.408,563.141
82,Embracer Group,488.727,653.955
83,Embracer Group,438.030,618.641
84,Embracer Group,402.252,516.817
85,Embracer Group,427.204,543.810
86,Embracer Group,393.203,649.440
87,Embracer Group,357.034,628.080
88,Embracer Group,565.955,445.589
89,Embracer Group,443.411,508.027
90,Embracer Group,409.131,509.366
91,Embracer Group,520.934,432.812
92,Embracer Group,531.894,522.030
93,Embracer Group,547.557,612.730
94,Embracer Group,542.634,486.343
95,Embracer Group,484.433,530.726
96,Embracer Group,431.020,544.430
97,Embracer Group,376.526,564.646
98,Embracer Group,452.314,613.171
99,Embracer Group,424.924,640.794
100,Embracer Group,474.558,674.404
101,Embracer Group,573.878,614.103
102,Embracer Group,381.261,561.641
103,Embracer Group,398.540,538.403
104,Embracer Group,599.396,545.439
105,Embracer Group,443.245,563.267
106,Embracer Group,522.861,465.975
107,Embracer Group,507.039,660.038
108,Embracer Group,392.707,412.127
109,Embracer Group,500.156,423.135
110,Embracer Group,531.414,525.002
111,Embracer Group,515.478,470.164
112,Embracer Group,508.601,600.589
113,Embracer Group,537.132,669.344
114,Embracer Group,593.877,588.682
115,Embracer Group,454.242,538.234
116,Embracer Group,537.476,492.623
117,Embracer Group,352.645,511.605
118,Embracer Group,511.005,448.258
119,Embracer Group,583.120,529.946
120,Embracer Group,589.252,590.484
121,Embracer Group,432.378,468.405
122,Embracer Group,519.227,426.001
123,Embracer Group,392.087,465.419
124,Embracer Group,451.511,522.374
125,Embracer Group,411.253,507.537
126,Embracer Group,336.412,577.648
127,Embracer Group,450.278,648.671
128,Embracer Group,584.773,563.166
129,Embracer Group,479.307,525.782
130,Embracer Group,447.523,655.743
131,Embracer Group,354.841,635.813
132,Embracer Group,386.453,665.010
133,Embracer Group,330.378,570.658
134,Embracer Group,575.162,473.658
135,Embracer Group,508.215,460.233
136,Embracer Group,454.965,543.391
137,Embracer Group,471.042,517.304
138,Embracer Group,418.985,621.811
139,Embracer Group,410.863,556.598
140,Embracer Group,399.694,599.977
141,Embracer Group,542.814,446.609
142,Embracer Group,393.149,520.402
143,Embracer Group,331.857,538.066
144,Embracer Group,354.020,559.592
145,Embracer Group,467.642,628.092
146,Embracer Group,406.812,463.848
147,Embracer Group,345.495,544.637
148,Embracer Group,487.605,494.373
149,Embracer Group,544.960,661.840
150,Embracer Group,418.259,441.672
151,Embracer Group,622.763,547.122
152,Embracer Group,423.946,669.260
153,Embracer Group,381.707,632.373
154,Embracer Group,434.279,490.492
155,Embracer Group,403.961,566.084
156,Embracer Group,419.232,457.618
157,Embracer Group,516.117,670.012
158,Embracer Group,573.545,537.486
159,Embracer Group,414.933,480.704
160,Embracer Group,553.063,578.286
161,Embracer Group,447.254,635.286
162,Embracer Group,428.551,497.835
163,Embracer Group,422.717,555.572
164,Embracer Group,395.230,584.644
165,Embracer Group,482.934,558.171
166,Embracer Group,401.243,657.064
167,Embracer Group,495.898,493.521
168,Embracer Group,394.920,473.540
169,Embracer Group,321.530,509.192
170,Embracer Group,375.516,539.004
171,Embracer Group,561.628,503.730
172,Embracer Group,518.816,442.274
173,Embracer Group,532.457,477.470
174,Embracer Group,451.938,625.609
175,Embracer Group,516.235,437.890
176,Embracer Group,462.666,612.287
177,Embracer Group,506.550,402.791
178,Embracer Group,460.027,487.634
179,Embracer Group,337.377,517.318
180,Embracer Group,451.404,640.488
181,Embracer Group,556.036,479.996
182,Embracer Group,432.664,654.855
183,Embracer Group,579.920,440.415
184,Embracer Group,499.478,418.230
185,Embracer Group,349.760,568.233
186,Embracer Group,493.876,596.027
187,Embracer Group,467.154,636.207
188,Embracer Group,480.002,390.964
189,Embracer Group,521.243,524.908
190,Embracer Group,390.982,654.279
191,Embracer Group,486.159,676.243
192,Embracer Group,454.257,421.588
193,Embracer Group,511.096,445.291
194,Embracer Group,357.503,478.307
195,Embracer Group,585.421,532.835
196,Embracer Group,452.926,680.462
197,Embracer Group,430.728,528.897
198,Embracer Group,488.536,425.597
199,Embracer Group,370.960,519.405
200,Embracer Group,540.913,465.230
201,Embracer Group,543.138,474.423
202,Embracer Group,422.670,684.687
203,Embracer Group,525.663,608.444
204,Embracer Group,597.704,569.457
205,Embracer Group,530.257,438.888
206,Embracer Group,418.194,419.917
207,Embracer Group,517.478,483.678
208,Embracer Group,606.039,492.434
209,Embracer Group,531.060,623.094
210,Embracer Group,444.080,454.163
211,Embracer Group,368.966,498.098
212,Embracer Group,566.922,441.242
213,Embracer Group,458.342,535.776
214,Embracer Group,579.702,470.823
215,Embracer Group,430.681,532.146
216,Embracer Group,542.495,620.398
217,Embracer Group,422.251,397.523
218,Embracer Group,572.316,443.542
219,Embracer Group,416.467,596.363
220,Embracer Group,455.662,427.493
221,Embracer Group,564.301,434.496
222,Embracer Group,486.208,389.796
223,Embracer Group,385.658,592.037
224,Embracer Group,353.749,567.267
225,Embracer Group,548.140,416.661
226,Embracer Group,363.812,441.322
227,Embracer Group,427.127,559.361
228,Embracer Group,435.745,437.232
229,Embracer Group,395.393,431.991
230,Embracer Group,467.188,467.837
231,Embracer Group,419.616,424.812
232,Embracer Group,577.971,577.452
233,Embracer Group,598.879,526.501
234,Embracer Group,509.471,434.076
235,Embracer Group,506.129,682.416
236,Embracer Group,466.906,560.045
237,Embracer Group,411.792,471.533
238,Embracer Group,483.555,574.885
239,Embracer Group,495.832,396.258
240,Embracer Group,370.200,470.820
241,Embracer Group,426.257,565.932
242,Embracer Group,380.850,516.881
243,Embracer Group,395.831,491.741
244,Embracer Group,456.337,461.863
245,Embracer Group,567.067,470.995
246,Embracer Group,497.196,479.528
247,Embracer Group,496.793,443.495
248,Embracer Group,357.890,472.783
249,Embracer Group,524.526,532.959
250,Embracer Group,361.481,459.395
251,Embracer Group,580.224,444.908
252,Embracer Group,409.562,481.030
253,Embracer Group,406.860,436.175
254,Embracer Group,482.421,421.839
255,Embracer Group,408.802,471.315
256,Embracer Group,368.266,551.641
257,Embracer Group,557.040,633.158
258,Embracer Group,468.022,624.950
259,Embracer Group,417.205,501.159
260,Embracer Group,512.190,434.070
261,Embracer Group,347.835,565.364
262,Embracer Group,509.413,529.839
263,Embracer Group,357.793,640.216
264,Embracer Group,386.460,444.299
265,Embracer Group,526.895,563.116
266,Embracer Group,368.835,435.504
267,Embracer Group,485.807,620.279
268,Embracer Group,501.083,680.330
269,Embracer Group,589.627,482.408
270,Embracer Group,411.417,524.682
271,Embracer Group,490.106,588.713
272,Embracer Group,591.180,490.025
273,Embracer Group,344.911,535.295
274,Embracer Group,605.907,482.041
275,Embracer Group,408.370,478.087
276,Embracer Group,345.000,459.674
277,Embracer Group,509.459,681.886
278,Embracer Group,372.708,440.576
279,Embracer Group,435.221,484.301
280,Embracer Group,513.697,672.178
281,Embracer Group,365.433,577.082
282,Embracer Group,479.944,594.302
283,Embracer Group,541.871,568.851
284,Embracer Group,432.295,414.337
