id,company,x,y
0,Take-Two Interactive,461.506,349.409
1,Take-Two Interactive,438.560,297.997
2,Take-Two Interactive,465.355,346.069
3,Take-Two Interactive,419.226,338.061
4,Take-Two Interactive,477.006,336.571
5,Take-Two Interactive,477.547,350.910
6,Take-Two Interactive,435.110,301.528
7,Take-Two Interactive,458.516,303.956
8,Take-Two Interactive,423.597,348.705
9,Take-Two Interactive,411.769,337.924
10,Take-Two Interactive,451.547,355.090
11,Take-Two Interactive,455.367,344.219
12,Take-Two Interactive,481.170,324.689
13,Take-Two Interactive,431.666,357.508
14,Take-Two Interactive,463.027,318.950
15,Take-Two Interactive,421.923,357.305
16,Take-Two Interactive,452.386,311.346
17,Take-Two Interactive,468.412,331.051
18,Take-Two Interactive,442.224,310.222
19,Take-Two Interactive,409.211,323.371
20,Take-Two Interactive,436.595,331.983
21,Take-Two Interactive,480.108,352.322
22,Take-Two Interactive,433.117,359.728
23,Take-Two Interactive,443.772,377.447
24,Take-Two Interactive,435.785,313.104
25,Take-Two Interactive,451.802,377.987
26,Take-Two Interactive,429.948,348.129
27,Take-Two Interactive,440.117,349.273
28,Take-Two Interactive,444.810,354.773
29,Take-Two Interactive,454.203,376.389
30,Take-Two Interactive,416.460,349.211
31,Take-Two Interactive,452.631,341.667
32,Take-Two Interactive,423.252,309.325
33,Take-Two Interactive,461.575,357.343
34,Take-Two Interactive,405.520,322.686
35,Take-Two Interactive,449.926,361.344
36,Take-Two Interactive,438.049,325.429
37,Take-Two Interactive,415.831,342.611
38,Take-Two Interactive,442.809,353.788
39,Take-Two Interactive,418.607,326.870
40,Take-Two Interactive,437.684,340.243
41,Take-Two Interactive,439.573,378.237
42,Take-Two Interactive,452.879,333.340
43,Take-Two Interactive,419.554,348.507
44,Take-Two Interactive,408.767,365.835
45,Take-Two Interactive,440.321,335.657
46,Take-Two Interactive,450.331,348.772
47,Take-Two Interactive,450.537,373.923
48,Take-Two Interactive,432.710,323.127
49,Take-Two Interactive,480.125,343.121
50,Take-Two Interactive,407.431,360.467
51,Take-Two Interactive,480.485,349.458
52,Take-Two Interactive,438.398,352.917
53,Take-Two Interactive,458.135,362.695
54,Take-Two Interactive,471.825,309.747
55,Take-Two Interactive,440.584,307.956
56,Take-Two Interactive,437.933,307.389
57,Take-Two Interactive,443.775,358.033
58,Take-Two Interactive,403.588,325.573
59,Take-Two Interactive,411.298,352.827
60,Take-Two Interactive,435.564,374.875
61,Take-Two Interactive,433.927,334.302
62,Take-Two Interactive,475.493,357.742
63,Take-Two Interactive,437.320,371.931
64,Take-Two Interactive,401.881,354.065
65,Take-Two Interactive,466.496,370.454
66,Take-Two Interactive,456.709,339.104
67,Take-Two Interactive,407.159,325.251
68,Take-Two Interactive,441.069,317.247
69,Take-Two Interactive,476.330,315.734
70,Take-Two Interactive,403.523,357.394
71,Take-Two Interactive,427.159,338.591
72,Take-Two Interactive,434.667,370.359
73,Take-Two Interactive,478.573,339.107
74,Take-Two Interactive,435.675,352.117
75,Take-Two Interactive,469.555,315.710
76,Take-Two Interactive,466.808,354.152
77,Take-Two Interactive,468.006,348.730
78,Take-Two Interactive,420.539,355.043
79,Take-Two Interactive,449.659,352.438
80,Take-Two Interactive,417.869,316.562
81,Take-Two Interactive,404.814,360.005
82,Take-Two Interactive,448.722,370.641
83,Take-Two Interactive,430.876,367.819
84,Take-Two Interactive,401.528,327.763
85,Take-Two Interactive,418.080,344.941
86,Take-Two Interactive,433.991,354.856
87,Take-Two Interactive,424.952,354.519
88,Take-Two Interactive,468.940,318.354
89,Take-Two Interactive,423.809,316.330
90,Take-Two Interactive,412.427,325.774
91,Take-Two Interactive,461.161,302.157
92,Take-Two Interactive,481.044,332.406
93,Take-Two Interactive,473.322,364.853
94,Take-Two Interactive,459.615,331.629
95,Take-Two Interactive,458.155,329.193
96,Take-Two Interactive,408.045,347.838
97,Take-Two Interactive,408.737,350.662
98,Take-Two Interactive,434.028,377.714
99,Take-Two Interactive,427.923,366.559
100,Take-Two Interactive,444.958,374.865
101,Take-Two Interactive,473.717,359.902
102,Take-Two Interactive,411.416,348.481
103,Take-Two Interactive,402.287,340.431
104,Take-Two Interactive,475.035,342.106
105,Take-Two Interactive,429.201,353.995
106,Take-Two Interactive,463.069,314.223
107,Take-Two Interactive,446.796,359.002
108,Take-Two Interactive,424.445,305.928
109,Take-Two Interactive,445.444,327.190
110,Take-Two Interactive,471.692,335.295
111,Take-Two Interactive,462.897,310.994
112,Take-Two Interactive,465.553,375.016
113,Take-Two Interactive,460.433,377.541
114,Take-Two Interactive,457.184,346.455
115,Take-Two Interactive,425.158,332.046
116,Take-Two Interactive,479.277,319.762
117,Take-Two Interactive,421.080,335.810
118,Take-Two Interactive,458.308,308.693
119,Take-Two Interactive,462.225,340.704
120,Take-Two Interactive,471.991,353.668
121,Take-Two Interactive,425.924,309.190
122,Take-Two Interactive,457.817,300.695
123,Take-Two Interactive,437.580,335.973
124,Take-Two Interactive,433.976,331.549
125,Take-Two Interactive,407.510,320.719
126,Take-Two Interactive,421.472,346.711
127,Take-Two Interactive,436.950,380.154
128,Take-Two Interactive,482.446,347.870
129,Take-Two Interactive,466.402,315.375
130,Take-Two Interactive,436.608,382.357
131,Take-Two Interactive,424.383,357.674
132,Take-Two Interactive,422.162,376.311
133,Take-Two Interactive,400.709,348.780
134,Take-Two Interactive,448.866,340.430
135,Take-Two Interactive,460.261,310.759
136,Take-Two Interactive,432.788,347.489
137,Take-Two Interactive,450.505,309.796
138,Take-Two Interactive,423.542,374.137
139,Take-Two Interactive,413.489,350.019
140,Take-Two Interactive,417.846,365.396
141,Take-Two Interactive,465.638,312.039
142,Take-Two Interactive,424.404,336.919
143,Take-Two Interactive,406.589,339.672
144,Take-Two Interactive,421.190,344.210
145,Take-Two Interactive,440.754,366.410
