id,company,x,y
0,Unity Technologies,403.163,239.737
1,Unity Technologies,343.065,116.956
2,Unity Technologies,429.191,237.107
3,Unity Technologies,268.150,203.166
4,Unity Technologies,397.648,206.064
5,Unity Technologies,407.213,233.099
6,Unity Technologies,328.604,123.269
7,Unity Technologies,362.708,179.823
8,Unity Technologies,291.083,240.266
9,Unity Technologies,316.053,213.629
10,Unity Technologies,396.421,289.584
11,Unity Technologies,416.282,239.817
12,Unity Technologies,416.231,182.152
13,Unity Technologies,307.874,279.605
14,Unity Technologies,384.982,174.062
15,Unity Technologies,313.212,240.859
16,Unity Technologies,364.874,155.052
17,Unity Technologies,392.868,200.871
18,Unity Technologies,346.761,182.676
19,Unity Technologies,259.857,174.134
20,Unity Technologies,299.509,164.089
21,Unity Technologies,436.919,243.249
22,Unity Technologies,309.974,298.952
23,Unity Technologies,347.585,277.635
24,Unity Technologies,334.177,151.607
25,Unity Technologies,372.084,310.100
26,Unity Technologies,294.355,246.570
27,Unity Technologies,299.176,298.804
28,Unity Technologies,360.904,285.788
29,Unity Technologies,375.869,300.500
30,Unity Technologies,259.378,237.685
31,Unity Technologies,434.716,195.232
32,Unity Technologies,319.813,170.651
33,Unity Technologies,351.185,217.691
34,Unity Technologies,266.258,170.631
35,Unity Technologies,355.367,244.400
36,Unity Technologies,320.704,128.991
37,Unity Technologies,276.432,219.633
38,Unity Technologies,362.595,303.275
39,Unity Technologies,273.898,174.766
40,Unity Technologies,309.587,195.083
41,Unity Technologies,343.569,269.699
42,Unity Technologies,422.908,162.413
43,Unity Technologies,264.682,240.953
44,Unity Technologies,318.387,238.708
45,Unity Technologies,292.574,153.140
46,Unity Technologies,396.184,265.721
47,Unity Technologies,367.631,297.790
48,Unity Technologies,309.815,149.902
49,Unity Technologies,400.030,216.448
50,Unity Technologies,278.723,257.144
51,Unity Technologies,415.875,233.887
52,Unity Technologies,318.371,305.623
53,Unity Technologies,368.318,246.927
54,Unity Technologies,373.804,186.821
55,Unity Technologies,346.786,161.253
56,Unity Technologies,337.522,126.736
57,Unity Technologies,354.648,303.755
58,Unity Technologies,322.617,207.862
59,Unity Technologies,304.065,232.668
60,Unity Technologies,337.389,267.038
61,Unity Technologies,268.369,158.175
62,Unity Technologies,430.686,258.750
63,Unity Technologies,338.569,307.639
64,Unity Technologies,256.232,246.369
65,Unity Technologies,404.168,291.499
66,Unity Technologies,444.505,188.384
67,Unity Technologies,303.249,195.330
68,Unity Technologies,344.735,163.409
69,Unity Technologies,400.147,169.790
70,Unity Technologies,271.105,245.753
71,Unity Technologies,251.918,194.838
72,Unity Technologies,342.279,252.851
73,Unity Technologies,442.814,208.506
74,Unity Technologies,322.791,250.126
75,Unity Technologies,401.864,162.045
76,Unity Technologies,394.915,242.088
77,Unity Technologies,424.689,236.548
78,Unity Technologies,271.956,263.039
79,Unity Technologies,395.024,297.309
80,Unity Technologies,299.603,173.344
81,Unity Technologies,263.109,259.868
82,Unity Technologies,358.758,279.644
83,Unity Technologies,312.929,300.176
84,Unity Technologies,258.370,185.798
85,Unity Technologies,254.748,226.250
86,Unity Technologies,300.090,282.298
87,Unity Technologies,324.935,234.001
88,Unity Technologies,415.172,150.374
89,Unity Technologies,304.902,162.924
90,Unity Technologies,313.692,197.286
91,Unity Technologies,383.668,141.393
92,Unity Technologies,370.195,211.620
93,Unity Technologies,419.841,277.708
94,Unity Technologies,355.056,215.135
95,Unity Technologies,400.876,172.232
96,Unity Technologies,323.889,218.972
97,Unity Technologies,317.514,223.784
98,Unity Technologies,340.854,248.324
99,Unity Technologies,338.401,241.433
100,Unity Technologies,349.541,314.815
101,Unity Technologies,410.884,259.920
102,Unity Technologies,283.944,230.759
103,Unity Technologies,288.622,216.312
104,Unity Technologies,433.635,219.799
105,Unity Technologies,313.621,247.254
106,Unity Technologies,371.647,178.758
107,Unity Technologies,372.082,294.998
108,Unity Technologies,314.938,157.743
109,Unity Technologies,371.563,131.541
110,Unity Technologies,428.032,194.498
111,Unity Technologies,392.125,147.753
112,Unity Technologies,348.749,223.262
